STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,NewDate
LAW00041051,"VIENTIANE, LA",1969-04-01,0.05,0,0,NA,NA,1969-04-01
LAW00041051,"VIENTIANE, LA",1969-04-02,0.03,0,0,NA,NA,1969-04-02
LAW00041051,"VIENTIANE, LA",1969-04-03,0,0,0,NA,NA,1969-04-03
LAW00041051,"VIENTIANE, LA",1969-04-04,0.37,0,0,NA,NA,1969-04-04
LAW00041051,"VIENTIANE, LA",1969-04-05,0.31,0,0,NA,NA,1969-04-05
LAW00041051,"VIENTIANE, LA",1969-04-06,0,0,0,NA,NA,1969-04-06
LAW00041051,"VIENTIANE, LA",1969-04-07,0,0,0,NA,NA,1969-04-07
LAW00041051,"VIENTIANE, LA",1969-04-08,0,0,0,NA,NA,1969-04-08
LAW00041051,"VIENTIANE, LA",1969-04-09,0,0,0,NA,NA,1969-04-09
LAW00041051,"VIENTIANE, LA",1969-04-10,0,0,0,NA,NA,1969-04-10
LAW00041051,"VIENTIANE, LA",1969-04-11,0,0,0,NA,NA,1969-04-11
LAW00041051,"VIENTIANE, LA",1969-04-12,0.04,0,0,NA,NA,1969-04-12
LAW00041051,"VIENTIANE, LA",1969-04-13,0.03,0,0,NA,NA,1969-04-13
LAW00041051,"VIENTIANE, LA",1969-04-14,0,0,0,NA,NA,1969-04-14
LAW00041051,"VIENTIANE, LA",1969-04-15,0,0,0,NA,NA,1969-04-15
LAW00041051,"VIENTIANE, LA",1969-04-16,0,0,0,99,79,1969-04-16
LAW00041051,"VIENTIANE, LA",1969-04-17,0,0,0,99,77,1969-04-17
LAW00041051,"VIENTIANE, LA",1969-04-18,0.65,0,0,97,73,1969-04-18
LAW00041051,"VIENTIANE, LA",1969-04-19,0.03,0,0,93,73,1969-04-19
LAW00041051,"VIENTIANE, LA",1969-04-20,0,0,0,100,79,1969-04-20
LAW00041051,"VIENTIANE, LA",1969-04-21,0,0,0,100,79,1969-04-21
LAW00041051,"VIENTIANE, LA",1969-04-22,0,0,0,100,77,1969-04-22
LAW00041051,"VIENTIANE, LA",1969-04-23,0,0,0,100,79,1969-04-23
LAW00041051,"VIENTIANE, LA",1969-04-24,0,0,0,100,79,1969-04-24
LAW00041051,"VIENTIANE, LA",1969-04-25,0,0,0,100,79,1969-04-25
LAW00041051,"VIENTIANE, LA",1969-04-26,0.24,0,0,95,77,1969-04-26
LAW00041051,"VIENTIANE, LA",1969-04-27,0,0,0,95,79,1969-04-27
LAW00041051,"VIENTIANE, LA",1969-04-28,0,0,0,93,75,1969-04-28
LAW00041051,"VIENTIANE, LA",1969-04-29,0,0,0,97,77,1969-04-29
