STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
LAM00048940,"WATTAY INTERNATIONAL, LA",6/22/1950,1.65,,,81,,
LAM00048940,"WATTAY INTERNATIONAL, LA",9/16/1950,,,,87,,
LAM00048940,"WATTAY INTERNATIONAL, LA",10/20/1950,,,,84,,
LAM00048940,"WATTAY INTERNATIONAL, LA",10/28/1950,0.2,,,76,,
LAM00048940,"WATTAY INTERNATIONAL, LA",10/31/1950,,,,76,,
LAM00048940,"WATTAY INTERNATIONAL, LA",11/5/1950,,,,79,,
LAM00048940,"WATTAY INTERNATIONAL, LA",11/9/1950,,,,78,,
LAM00048940,"WATTAY INTERNATIONAL, LA",11/15/1950,0.35,,,74,,
LAM00048940,"WATTAY INTERNATIONAL, LA",11/21/1950,0.35,,,83,,
LAM00048940,"WATTAY INTERNATIONAL, LA",12/7/1950,,,,79,,
LAM00048940,"WATTAY INTERNATIONAL, LA",12/15/1950,,,,70,,
LAM00048940,"WATTAY INTERNATIONAL, LA",1/2/1951,,,,65,,
LAM00048940,"WATTAY INTERNATIONAL, LA",1/6/1951,,,,76,,
LAM00048940,"WATTAY INTERNATIONAL, LA",1/7/1951,,,,73,,
LAM00048940,"WATTAY INTERNATIONAL, LA",2/25/1951,,,,74,,59
LAM00048940,"WATTAY INTERNATIONAL, LA",3/13/1951,,,,86,,
LAM00048940,"WATTAY INTERNATIONAL, LA",3/18/1951,,,,80,,70
LAM00048940,"WATTAY INTERNATIONAL, LA",4/3/1951,,,,88,,73
LAM00048940,"WATTAY INTERNATIONAL, LA",7/15/1951,0.01,,,82,,77
LAM00048940,"WATTAY INTERNATIONAL, LA",7/18/1951,,,,88,,
LAM00048940,"WATTAY INTERNATIONAL, LA",7/19/1951,,,,86,,77
LAM00048940,"WATTAY INTERNATIONAL, LA",7/20/1951,0.01,,,83,,
LAM00048940,"WATTAY INTERNATIONAL, LA",8/25/1951,,,,84,91,75
LAM00048940,"WATTAY INTERNATIONAL, LA",9/1/1951,,,,85,90,
LAM00048940,"WATTAY INTERNATIONAL, LA",9/22/1951,,,,80,91,72
LAM00048940,"WATTAY INTERNATIONAL, LA",10/7/1951,0.01,,,83,90,77
LAM00048940,"WATTAY INTERNATIONAL, LA",10/20/1951,0.2,,,77,,
LAM00048940,"WATTAY INTERNATIONAL, LA",10/23/1951,2.76,,,70,75,
LAM00048940,"WATTAY INTERNATIONAL, LA",10/28/1951,,,,72,,64
LAM00048940,"WATTAY INTERNATIONAL, LA",11/16/1951,,,,82,,
LAM00048940,"WATTAY INTERNATIONAL, LA",11/20/1951,,,,79,,
LAM00048940,"WATTAY INTERNATIONAL, LA",11/22/1951,,,,82,,
LAM00048940,"WATTAY INTERNATIONAL, LA",11/26/1951,,,,73,,
LAM00048940,"WATTAY INTERNATIONAL, LA",11/27/1951,,,,75,,66
LAM00048940,"WATTAY INTERNATIONAL, LA",11/28/1951,,,,78,84,
LAM00048940,"WATTAY INTERNATIONAL, LA",12/2/1951,0.02,,,72,79,66
LAM00048940,"WATTAY INTERNATIONAL, LA",12/4/1951,,,,74,,64
LAM00048940,"WATTAY INTERNATIONAL, LA",12/9/1951,,,,72,,57
LAM00048940,"WATTAY INTERNATIONAL, LA",12/10/1951,,,,71,,59
LAM00048940,"WATTAY INTERNATIONAL, LA",12/13/1951,,,,70,,57
LAM00048940,"WATTAY INTERNATIONAL, LA",12/15/1951,0.79,,,66,72,
LAM00048940,"WATTAY INTERNATIONAL, LA",12/19/1951,0.39,,,68,84,
LAM00048940,"WATTAY INTERNATIONAL, LA",12/23/1951,,,,75,88,64
LAM00048940,"WATTAY INTERNATIONAL, LA",12/28/1951,,,,76,88,61
LAM00048940,"WATTAY INTERNATIONAL, LA",12/29/1951,,,,69,88,64
LAM00048940,"WATTAY INTERNATIONAL, LA",1/2/1952,,,,76,,66
LAM00048940,"WATTAY INTERNATIONAL, LA",1/3/1952,,,,69,,61
LAM00048940,"WATTAY INTERNATIONAL, LA",1/14/1952,,,,76,,
LAM00048940,"WATTAY INTERNATIONAL, LA",1/18/1952,,,,74,,64
LAM00048940,"WATTAY INTERNATIONAL, LA",1/19/1952,,,,72,,43
LAM00048940,"WATTAY INTERNATIONAL, LA",1/20/1952,,,,65,81,52
LAM00048940,"WATTAY INTERNATIONAL, LA",1/22/1952,,,,71,84,
LAM00048940,"WATTAY INTERNATIONAL, LA",1/28/1952,,,,76,88,
LAM00048940,"WATTAY INTERNATIONAL, LA",1/31/1952,,,,78,,63
LAM00048940,"WATTAY INTERNATIONAL, LA",2/2/1952,,,,80,,
LAM00048940,"WATTAY INTERNATIONAL, LA",2/8/1952,,,,85,91,64
LAM00048940,"WATTAY INTERNATIONAL, LA",2/14/1952,,,,84,,68
LAM00048940,"WATTAY INTERNATIONAL, LA",2/19/1952,,,,70,,
LAM00048940,"WATTAY INTERNATIONAL, LA",2/21/1952,0.35,,,69,,54
LAM00048940,"WATTAY INTERNATIONAL, LA",2/22/1952,0,,,74,,
LAM00048940,"WATTAY INTERNATIONAL, LA",2/27/1952,0.08,,,82,,
LAM00048940,"WATTAY INTERNATIONAL, LA",3/16/1952,,,,83,,70
LAM00048940,"WATTAY INTERNATIONAL, LA",3/18/1952,0.35,,,81,100,
LAM00048940,"WATTAY INTERNATIONAL, LA",3/22/1952,,,,80,,70
LAM00048940,"WATTAY INTERNATIONAL, LA",3/23/1952,0.04,,,81,90,
LAM00048940,"WATTAY INTERNATIONAL, LA",4/7/1952,,,,94,,
LAM00048940,"WATTAY INTERNATIONAL, LA",4/14/1952,0.83,,,78,,66
LAM00048940,"WATTAY INTERNATIONAL, LA",4/23/1952,0.24,,,90,99,73
LAM00048940,"WATTAY INTERNATIONAL, LA",5/4/1952,,,,87,95,75
LAM00048940,"WATTAY INTERNATIONAL, LA",5/5/1952,0.71,,,84,97,75
LAM00048940,"WATTAY INTERNATIONAL, LA",5/14/1952,0.24,,,81,88,75
LAM00048940,"WATTAY INTERNATIONAL, LA",5/21/1952,0.98,,,77,88,
LAM00048940,"WATTAY INTERNATIONAL, LA",5/24/1952,1.18,,,82,,77
LAM00048940,"WATTAY INTERNATIONAL, LA",5/31/1952,0.04,,,85,95,77
LAM00048940,"WATTAY INTERNATIONAL, LA",6/1/1952,0.2,,,82,95,
LAM00048940,"WATTAY INTERNATIONAL, LA",6/4/1952,0.02,,,81,91,75
LAM00048940,"WATTAY INTERNATIONAL, LA",6/11/1952,0.02,,,83,90,
LAM00048940,"WATTAY INTERNATIONAL, LA",6/13/1952,0.08,,,87,91,
LAM00048940,"WATTAY INTERNATIONAL, LA",6/21/1952,,,,83,,77
LAM00048940,"WATTAY INTERNATIONAL, LA",7/6/1952,,,,86,93,
LAM00048940,"WATTAY INTERNATIONAL, LA",7/12/1952,,,,85,,75
LAM00048940,"WATTAY INTERNATIONAL, LA",7/13/1952,,,,84,,
LAM00048940,"WATTAY INTERNATIONAL, LA",7/16/1952,0.87,,,82,91,73
LAM00048940,"WATTAY INTERNATIONAL, LA",7/20/1952,0.08,,,84,,75
LAM00048940,"WATTAY INTERNATIONAL, LA",7/26/1952,0.16,,,80,88,68
LAM00048940,"WATTAY INTERNATIONAL, LA",7/27/1952,,,,82,88,
LAM00048940,"WATTAY INTERNATIONAL, LA",7/31/1952,0.08,,,81,,
LAM00048940,"WATTAY INTERNATIONAL, LA",8/2/1952,0.08,,,79,88,73
LAM00048940,"WATTAY INTERNATIONAL, LA",8/3/1952,0.02,,,80,84,75
LAM00048940,"WATTAY INTERNATIONAL, LA",8/4/1952,0,,,79,88,
LAM00048940,"WATTAY INTERNATIONAL, LA",8/5/1952,,,,83,91,75
LAM00048940,"WATTAY INTERNATIONAL, LA",8/8/1952,0.01,,,82,90,75
LAM00048940,"WATTAY INTERNATIONAL, LA",8/9/1952,0.79,,,84,88,
LAM00048940,"WATTAY INTERNATIONAL, LA",8/13/1952,1.57,,,82,,75
LAM00048940,"WATTAY INTERNATIONAL, LA",8/14/1952,0.47,,,79,,
LAM00048940,"WATTAY INTERNATIONAL, LA",8/15/1952,,,,80,88,75
LAM00048940,"WATTAY INTERNATIONAL, LA",8/17/1952,0.79,,,81,88,75
LAM00048940,"WATTAY INTERNATIONAL, LA",8/18/1952,0.59,,,80,86,73
LAM00048940,"WATTAY INTERNATIONAL, LA",8/22/1952,0.31,,,80,86,75
LAM00048940,"WATTAY INTERNATIONAL, LA",8/23/1952,,,,83,90,77
LAM00048940,"WATTAY INTERNATIONAL, LA",8/26/1952,1.06,,,77,82,73
LAM00048940,"WATTAY INTERNATIONAL, LA",8/30/1952,0.43,,,80,88,73
LAM00048940,"WATTAY INTERNATIONAL, LA",8/31/1952,0.08,,,85,91,75
